;;;;;;;
Оценка склада (в розничных ценах) ;;;;;;;
;;;;;;;
Параметры:;;Дата отчета: 22.05.2025 0:00:00;;;;;
;;Вид цены: ;;;;;
Отбор:;;"Номенклатура В группе из списка ""Телефоны""";;;;;
;;;;;;;
Склад;;;;;;Остаток на складе;Розничная цена
Номенклатура;;;;Номенклатура.Код;;;
Алеся;;;;;;94,000;742 200
Товар Дилера;;;;01-00000004;;94,000;742 200
Телефоны;;;;01-00000006;;94,000;742 200
Кнопочные телефоны;;;;01-00015658;;35,000;97 190
BQ;;;;01-00005379;;31,000;82 390
BQ 1842 Tank mini Темно-Синий;;;;01-00007103;;1,000;2 500
BQ 1846 One Power чёрный+серый;;;;69-00000061;;1,000;1 900
BQ 1848 Step+ Black+Blue;;;;01-00011776;;1,000;1 900
BQ 1848 Step+ Black+Green;;;;01-00012852;;1,000;1 900
BQ 1851 Respect Чёрный;;;;01-00007889;;1,000;2 400
BQ 1853 Life Black+Red;;;;01-00015785;;1,000;2 000
BQ 1853 Life Blue;;;;01-00015713;;1,000;2 000
BQ 1858 Barrel Black+Silver;;;;01-00017739;;1,000;2 000
BQ 1867 Blues Серебряный;;;;01-00018081;;1,000;2 600
BQ 2005 Disco Розовый;;;;01-00016862;;1,000;2 900
BQ 2005 Disco Черный;;;;01-00015033;;1,000;2 900
BQ 2006 Comfort Green+Black;;;;01-00016275;;1,000;2 900
BQ 2006 Comfort Red+Black;;;;01-00016276;;1,000;3 000
BQ 2412 Shell Duo Красный;;;;01-00018073;;1,000;3 300
BQ 2430 Tank Power Black+Silver;;;;01-00006183;;1,000;3 300
BQ 2439 Bobber Оранжевый;;;;01-00009502;;2,000;3 490
BQ 2440 Step L+ Black+Blue;;;;01-00013718;;1,000;2 000
BQ 2440 Step L+ Black+Green;;;;01-00015032;;1,000;1 900
BQ 2449 Hammer Black;;;;01-00011688;;1,000;3 700
BQ 2452 Energy Black+Red;;;;01-00015805;;1,000;2 900
BQ 2453 Quattro Синий;;;;01-00018263;;1,000;2 700
BQ 2454 Ray Серый;;;;01-00015651;;1,000;2 800
BQ 2454 Ray Синий;;;;01-00015657;;1,000;2 800
BQ 2456 Pocket Dark Blue;;;;01-00018604;;1,000;3 100
BQ 2817 Tank Quattro Power Зеленый;;;;01-00012474;;1,000;3 600
BQ 2817 Tank Quattro Power Камуфляж;;;;01-00011691;;1,000;3 600
BQ 2820 Step XL+ Black (черный);;;;01-00011278;;1,000;2 100
BQ 2822 Dragon Синий;;;;01-00012279;;1,000;3 600
BQ 2835 Torch Dark Green;;;;01-00019256;;1,000;4 000
BQ 3598 Barrel XXL Black+Silver;;;;01-00018075;;1,000;2 600
Xenium;;;;74-00000957;;4,000;14 800
Xenium X300 Зеленый камуфляж;;;;74-00000960;;1,000;3 700
Xenium X680 Темно-серый;;;;01-00018925;;1,000;3 800
Xenium X700 Красный;;;;01-00019043;;1,000;3 600
Xenium X700 Черный;;;;74-00000963;;1,000;3 700
Сенсорные телефоны;;;;01-00015659;;59,000;645 010
INFINIX;;;;01-00015411;;5,000;64 450
Infinix HOT 30 4+128 GB Black;;;;01-00017641;;1,000;10 990
Infinix HOT 50 6+256GB Sage Green;;;;01-00018579;;1,000;15 990
Infinix Smart 8 Pro 4/256Gb Shiny Gold;;;;01-00018164;;1,000;12 490
Infinix Smart 8 Pro 4+256GB Galaxy White;;;;74-00001012;;1,000;12 490
Infinix Smart 8 Pro 4+256GB Timber Black ;;;;74-00001013;;1,000;12 490
REALME;;;;01-00011170;;12,000;123 470
Realme 8i 4+128 GB Stellar Purple;;;;01-00015400;;1,000;10 990
Realme C33 4+128 ГБ GOLD;;;;01-00016507;;1,000;10 990
Realme C35 4/128GB Black;;;;01-00016324;;1,000;11 999
Realme C35 4/128GB Gren;;;;01-00016371;;1,000;11 999
Realme C61 6/128GB NFC Sparkle Gold;;;;01-00018653;;1,000;10 999
Realme C61 8/128GB NFC Dark Green;;;;01-00018258;;1,000;11 999
Realme C61 8/128GB NFC Sparkle Gold;;;;01-00018259;;1,000;11 999
Realme C61 8/256GB NFC Sparkle Gold;;;;01-00018260;;1,000;12 499
Realme Note 50 4/128Gb (RMX3834) Blue;;;;01-00017731;;1,000;7 999
Realme Note 60 4/128Gb (RMX3933) Marble Black;;;;01-00018813;;1,000;7 999
Realme Note 60х 3/64Gb (RMX3938) Black;;;;01-00018745;;1,000;6 999
Realme Note 60х 3/64Gb (RMX3938) Green;;;;01-00018746;;1,000;6 999
Samsung;;;;13-00000003;;5,000;63 950
Samsung Galaxy A05S 4/64GB Black RUS;;;;01-00018451;;1,000;11 990
Samsung Galaxy A06 4/64 Gb Black;;;;74-00001017;;1,000;10 990
Samsung Galaxy A06 4/64 Gb Light Blue ;;;;74-00001018;;1,000;10 990
Samsung Galaxy A14 4/64Gb (SM-A145) Light Green;;;;01-00017450;;1,000;11 990
Samsung Galaxy A16 4/128GB Blue Black;;;;01-00018821;;1,000;17 990
